Timestamp,ID,Symbol,Name,Current Price,Market Cap,Market Cap Rank,Total Volume,High 24h,Low 24h,Price Change 24h,Price Change % 24h,Last Updated
2025-02-24 18:21:42,bitcoin,btc,Bitcoin,95704.00,1897304442120,1,24461762888,96481.00,95113.00,-558.02,-0.58,2025-02-24T10:20:43.608Z
2025-02-24 18:21:42,ethereum,eth,Ethereum,2684.39,323713062374,2,25287957185,2835.44,2685.11,-125.57,-4.47,2025-02-24T10:20:50.028Z
2025-02-24 18:21:42,ripple,xrp,XRP,2.46,142619818772,3,3083424015,2.59,2.45,-0.11,-4.33,2025-02-24T10:20:15.429Z
2025-02-24 18:21:42,tether,usdt,Tether,1.00,142445329102,4,52751412209,1.00,1.00,0.00,0.01,2025-02-24T10:20:10.009Z
2025-02-24 18:21:42,binancecoin,bnb,BNB,641.38,93718186108,5,703499377,662.22,637.98,-19.70,-2.98,2025-02-24T10:20:42.962Z
2025-02-24 18:21:42,solana,sol,Solana,157.26,77423626627,6,3771124725,171.42,157.68,-14.16,-8.26,2025-02-24T10:20:28.008Z
2025-02-24 18:21:42,usd-coin,usdc,USDC,1.00,57257773762,7,5744865217,1.00,1.00,-0.00,-0.00,2025-02-24T10:20:16.156Z
2025-02-24 18:21:42,dogecoin,doge,Dogecoin,0.23,33993310446,8,1335316046,0.25,0.23,-0.02,-6.50,2025-02-24T10:20:52.443Z
2025-02-24 18:21:42,cardano,ada,Cardano,0.73,26383099645,9,559762693,0.78,0.73,-0.05,-5.85,2025-02-24T10:20:49.488Z
2025-02-24 18:21:42,staked-ether,steth,Lido Staked Ether,2679.33,25239671713,10,36985004,2823.81,2680.76,-116.66,-4.17,2025-02-24T10:20:06.857Z
2025-02-24 18:21:42,tron,trx,TRON,0.25,21196644229,11,652520363,0.25,0.24,0.00,1.32,2025-02-24T10:20:42.791Z
2025-02-24 18:21:42,wrapped-bitcoin,wbtc,Wrapped Bitcoin,95559.00,12340373781,12,345540978,96477.00,95191.00,-554.30,-0.58,2025-02-24T10:20:32.991Z
